Repo	Url	CommitHash
facebook/react-native	github.com/facebook/react-native/commit/75b2e5cc9734bb3db49ce118b9e2935ed7d90e77	75b2e5cc9734bb3db49ce118b9e2935ed7d90e77
cloudant/java-cloudant	github.com/cloudant/java-cloudant/commit/3529583bdcc11a846a7664c7deb9010c82faaaa7	3529583bdcc11a846a7664c7deb9010c82faaaa7
jatindhankhar/shorl	github.com/jatindhankhar/shorl/commit/0bd7cd766513926085c9eac3ed865bbe936f9ace	0bd7cd766513926085c9eac3ed865bbe936f9ace
MichaelObi/PaperPlayer	github.com/MichaelObi/PaperPlayer/commit/77bb3fc79952c18d3d8e5290b0f5ec8500bb7703	77bb3fc79952c18d3d8e5290b0f5ec8500bb7703
natanieljr/droidmate	github.com/natanieljr/droidmate/commit/4f03800c1236a947e831b3fa372720ca75071b77	4f03800c1236a947e831b3fa372720ca75071b77
yuyakaido/CardStackView	github.com/yuyakaido/CardStackView/commit/2db614bf4ea19572e49994d9d18e90acaf882147	2db614bf4ea19572e49994d9d18e90acaf882147
edsilfer/sticky-index	github.com/edsilfer/sticky-index/commit/60685c95bdece53d102a7ef3c153633b7b441033	60685c95bdece53d102a7ef3c153633b7b441033
braintree/braintree_android	github.com/braintree/braintree_android/commit/31dbe22da1682dc548af1a03ed659d38373b450b	31dbe22da1682dc548af1a03ed659d38373b450b
skydoves/ElasticViews	github.com/skydoves/ElasticViews/commit/354b5d5629dd28fad6943746051418bc716fe7f8	354b5d5629dd28fad6943746051418bc716fe7f8
vrestivo/popmovies_public	github.com/vrestivo/popmovies_public/commit/e7f29e455ad6cc76904e1368cae1a1b1af7399d6	e7f29e455ad6cc76904e1368cae1a1b1af7399d6
orhanobut/tracklytics	https://github.com/orhanobut/tracklytics	17441277f445ab262366a34bf9be856bf48bf544
brcolow/Monocle	github.com/brcolow/Monocle/commit/14a86e0028b1aaeb00a01197d229dff33fe80712	14a86e0028b1aaeb00a01197d229dff33fe80712
patrickfav/Dali	github.com/patrickfav/Dali/commit/d6e5e7b44a25f678b2fdb2827306ffe34c75bff7	d6e5e7b44a25f678b2fdb2827306ffe34c75bff7
zagum/SpeechRecognitionView	github.com/zagum/SpeechRecognitionView/commit/1c21bde52c98c96f56d6508b3e00305fd656ce06	1c21bde52c98c96f56d6508b3e00305fd656ce06
pushtorefresh/storio	github.com/pushtorefresh/storio/commit/91ef8961461561a1f569f76a3d5f1603b12a2921	91ef8961461561a1f569f76a3d5f1603b12a2921
google/dagger	github.com/google/dagger/commit/adcaeab64fb435d35f1f6e9559e591277470ef6d	adcaeab64fb435d35f1f6e9559e591277470ef6d
airbnb/epoxy	github.com/airbnb/epoxy/commit/49cd79581fe93c2e620cb90e68c72779ed8d5706	49cd79581fe93c2e620cb90e68c72779ed8d5706
microhackaton-2014-august-warsaw/twitter-places-analyzer	github.com/microhackaton-2014-august-warsaw/twitter-places-analyzer/commit/64130eacea59c5f95fce454aa5b1a30e84aa0b98	64130eacea59c5f95fce454aa5b1a30e84aa0b98
iFixit/iFixitAndroid	github.com/iFixit/iFixitAndroid/commit/3b4c4f5a5147304d8b16a11ee4c90bcc784a0894	3b4c4f5a5147304d8b16a11ee4c90bcc784a0894
nectec-wisru/android-TanlabadSurvey	github.com/nectec-wisru/android-TanlabadSurvey/commit/c9f9fde75f95eab90c01e1e088710668c9882f83	c9f9fde75f95eab90c01e1e088710668c9882f83
nextcloud/android	github.com/nextcloud/android/commit/14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8	14c1e8d7187820d5cf4fc2aeb33b83ce71d48ba8
Kureev/react-native-blur	github.com/Kureev/react-native-blur/commit/3c3cbe3527bf79593c7b67e38f718e46e3b02528	3c3cbe3527bf79593c7b67e38f718e46e3b02528
fmichel/MaDKit-tutorials	github.com/fmichel/MaDKit-tutorials/commit/f2d9fa675e97ef4c07163448296929a9a5bae8b9	f2d9fa675e97ef4c07163448296929a9a5bae8b9
yungsters/rain-workload-toolkit	github.com/yungsters/rain-workload-toolkit/commit/208e81c971f0a92d9cc17ca07ef2aad926a53863	208e81c971f0a92d9cc17ca07ef2aad926a53863
jani-hautamaki/spssio	github.com/jani-hautamaki/spssio/commit/ae44501eee3ace9fd670d0e0a62d2ca076920c8b	ae44501eee3ace9fd670d0e0a62d2ca076920c8b
karolaug/jmx	github.com/karolaug/jmx/commit/68ce18ab2b2bec4f866dc2306a79e69b38907742	68ce18ab2b2bec4f866dc2306a79e69b38907742
kobronson/cs-voltdb	github.com/kobronson/cs-voltdb/commit/3fb402dd59c6363f096717a9d2f27b5559886a97	3fb402dd59c6363f096717a9d2f27b5559886a97
hkerem/mysql-diff	github.com/hkerem/mysql-diff/commit/9c348e2ee237bb791da5b267ef2d9b61564355c8	9c348e2ee237bb791da5b267ef2d9b61564355c8
ow2-proactive/programming	github.com/ow2-proactive/programming/commit/c41325cde1885d73923600dc363d81db29cca7a2	c41325cde1885d73923600dc363d81db29cca7a2
imCodePartnerAB/imcms	github.com/imCodePartnerAB/imcms/commit/da894e8ade347cb4941b2248695ab5704b894766	da894e8ade347cb4941b2248695ab5704b894766
akvo/akvo-flow	github.com/akvo/akvo-flow/commit/f012550ea4356c5f8a4ca1b25ac14a77fb367fe6	f012550ea4356c5f8a4ca1b25ac14a77fb367fe6
patroklossam/WareHouse	github.com/patroklossam/WareHouse/commit/3defba3453d5cc17335c3622a67a765dc79bb048	3defba3453d5cc17335c3622a67a765dc79bb048
servicefabric/servicefabric	github.com/servicefabric/servicefabric/commit/6a64ea7536acdff3e7f9e05d8ecdb835cad69092	6a64ea7536acdff3e7f9e05d8ecdb835cad69092
FabianTerhorst/openid4java	github.com/FabianTerhorst/openid4java/commit/7d3c33e2d91238f1102f925da8d367311dadb483	7d3c33e2d91238f1102f925da8d367311dadb483
jimmycd/liquibase	github.com/jimmycd/liquibase/commit/381c1ccafcd6805a08abeeedb75fc69ec91da6e2	381c1ccafcd6805a08abeeedb75fc69ec91da6e2
dupuisa/i-CodeCNES	github.com/dupuisa/i-CodeCNES/commit/a1dfd5768dbb679490d462f3764d04b502406df9	a1dfd5768dbb679490d462f3764d04b502406df9
pkcool/bmsuite	github.com/pkcool/bmsuite/commit/0287a76e3be3e9a5a43c425c04f25ff2c66d558e	0287a76e3be3e9a5a43c425c04f25ff2c66d558e
apache/isis	github.com/apache/isis/commit/c053b08b51b48f3b9094b425bd777c42898fc399	c053b08b51b48f3b9094b425bd777c42898fc399
matthewmccullough/encryption-jvm-bootcamp	github.com/matthewmccullough/encryption-jvm-bootcamp/commit/11840e3d5bdbb5cac2a696f2ce309d87b12586fa	11840e3d5bdbb5cac2a696f2ce309d87b12586fa
amplab/smash	github.com/amplab/smash/commit/1042b4129bb072f31002c2633eed7070dbd44865	1042b4129bb072f31002c2633eed7070dbd44865
