Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Additions,Deletions,Changes,BLOC_Before,BLOC_After,Cyclomatic_Complexity_Before,Cyclomatic_Complexity_After,Halstead_Volume_Before,Halstead_Volume_After,Clone_Density_Before,Clone_Density_After,Build_Cohesion_Before,Build_Cohesion_After,Build_Modularity_Before,Build_Modularity_After,Churn_Before,Churn_After,Change_Frequency_Before,Change_Frequency_After
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/TestScript.groovy,TestScript.groovy,Gradle/Groovy,modified,23,3,26,10,23,1,4,57.36,224.66,0.0,0.0,0.0,0.0,0.35,0.5125,62,88,0,1
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/build.gradle,build.gradle,Gradle,modified,29,1,30,16,36,1,5,97.67,330.34,0.0,0.0,0.0,0.0,0.35,0.5125,62,92,4,5
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/build.xml,build.xml,Ant,modified,0,5,5,19,19,5,5,78.14,78.14,0.0,0.0,0.0,0.0,0.35,0.5125,24,29,4,5
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/pom.xml,pom.xml,Maven,modified,23,5,28,29,52,1,4,194.95,378.94,0.0,0.0,0.0,0.0,0.35,0.5125,92,120,4,5
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/TestScript.groovy,TestScript.groovy,Gradle/Groovy,modified,23,3,26,10,23,1,4,57.36,224.66,0.0,0.0,0.0,0.0,0.35,0.5125,62,88,0,1
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/build.gradle,build.gradle,Gradle,modified,29,1,30,16,36,1,5,97.67,330.34,0.0,0.0,0.0,0.0,0.35,0.5125,62,92,4,5
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/build.xml,build.xml,Ant,modified,0,5,5,19,19,5,5,78.14,78.14,0.0,0.0,0.0,0.0,0.35,0.5125,24,29,4,5
fa73de60bef84f8fa2988cc941d1232e7858b5d3,ee8fbad9d4361f4b9daca24fece6284f30cf69aa,FilesExamples/pom.xml,pom.xml,Maven,modified,23,5,28,29,52,1,4,194.95,378.94,0.0,0.0,0.0,0.0,0.35,0.5125,92,120,4,5
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/app/build.gradle,build.gradle,Gradle,added,28,0,28,0,23,0,1,0.0,651.18,0.0,0.0,0.0,0.5,0.3771,0.5977,28,56,0,1
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/core/build.gradle,build.gradle,Gradle,added,22,0,22,0,18,0,1,0.0,394.66,0.0,0.0,0.0,1.0,0.3771,0.5977,22,44,0,1
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/lib/build.gradle,build.gradle,Gradle,added,28,0,28,0,23,0,1,0.0,619.92,0.0,0.0,0.0,1.0,0.3771,0.5977,28,56,0,1
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/app/build.gradle,build.gradle,Gradle,added,28,0,28,0,23,0,1,0.0,651.18,0.0,0.0,0.0,0.5,0.3771,0.5977,28,56,0,1,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/core/build.gradle,build.gradle,Gradle,added,22,0,22,0,18,0,1,0.0,394.66,0.0,0.0,0.0,1.0,0.3771,0.5977,22,44,0,1,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/lib/build.gradle,build.gradle,Gradle,added,28,0,28,0,23,0,1,0.0,619.92,0.0,0.0,0.0,1.0,0.3771,0.5977,28,56,0,1,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360834f9def180b6bb3f97df803c56ffeb4add4f,7d3b8724fbeb8b92a019f1ef9db34700e547731c,FilesExamples/gradle_multi/settings.gradle,settings.gradle,Gradle,added,2,0,2,0,2,0,1,0.0,72.65,0.0,0.0,0.0,0.0,0.3771,0.5977,0,2,0,1,0,0,0.0,0.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
