Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,BLOC_Before,BLOC_After,Cyclomatic_Complexity_Before,Cyclomatic_Complexity_After,Normalized_CC_Before,Normalized_CC_After,Halstead_Volume_Before,Halstead_Volume_After,Normalized_HV_Before,Normalized_HV_After,Clone_Density_Before,Clone_Density_After,Maintainability_Smell_Count_Before,Maintainability_Smell_Count_After,Maintainability_Smell_Density_Before,Maintainability_Smell_Density_After,Maintainability_Smell_Summary_Before,Maintainability_Smell_Summary_After
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,ReactAndroid/build.gradle,build.gradle,Gradle,modified,450,431,47,45,0.1044,0.1044,30347.84,28714.93,67.4396,66.624,0.0,0.0,4,4,0.0089,0.0093,,
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,450,431,47,45,0.1044,0.1044,30347.84,28714.93,67.4396,66.624,,,4,4,0.0089,0.0093,,
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,build.gradle,build.gradle,Gradle,modified,150,150,9,9,0.06,0.06,7535.05,7535.05,50.2337,50.2337,0.044,0.044,5,5,0.0333,0.0333,,
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,cloudant-client/build.gradle,build.gradle,Gradle,modified,119,126,7,10,0.0588,0.0794,5070.62,6235.25,42.6103,49.4861,0.0,0.0,4,5,0.0336,0.0397,,
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,269,276,16,19,0.0595,0.0688,12605.67,13770.3,46.8612,49.8924,,,9,10,0.0335,0.0362,,
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,app/build.gradle,build.gradle,Gradle,modified,69,69,1,1,0.0145,0.0145,3692.57,3774.58,53.5155,54.7041,0.0,0.0,2,2,0.029,0.029,,
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,69,69,1,1,0.0145,0.0145,3692.57,3774.58,53.5155,54.7041,,,2,2,0.029,0.029,,
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,app/build.gradle,build.gradle,Gradle,modified,39,89,1,1,0.0256,0.0112,1818.15,4256.11,46.6192,47.8215,0.0,0.112,1,1,0.0256,0.0112,,
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,build.gradle,build.gradle,Gradle,modified,18,20,1,1,0.0556,0.05,495.0,619.92,27.5,30.996,0.0,0.0,0,0,0.0,0.0,,
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,57,109,2,2,0.0351,0.0183,2313.15,4876.03,40.5816,44.7342,,,1,1,0.0175,0.0092,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,build.gradle,build.gradle,Gradle,modified,78,79,2,2,0.0256,0.0253,4434.99,4604.38,56.8588,58.2833,0.078,0.0,2,2,0.0256,0.0253,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,buildSrc/build.gradle,build.gradle,Gradle,modified,48,46,1,1,0.0208,0.0217,2182.68,2114.24,45.4725,45.9617,0.0,0.0,2,2,0.0417,0.0435,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/build.gradle,build.gradle,Gradle,modified,61,62,1,1,0.0164,0.0161,2786.41,2893.84,45.6789,46.6748,0.0,0.0,1,1,0.0164,0.0161,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/settings.gradle,settings.gradle,Gradle,modified,13,11,1,1,0.0769,0.0909,220.0,129.52,16.9231,11.7745,0.0,0.0,1,1,0.0769,0.0909,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/pcComponents/core/build.gradle,build.gradle,Gradle,modified,63,64,1,1,0.0159,0.0156,2314.05,2365.14,36.731,36.9553,0.0,0.0,1,1,0.0159,0.0156,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,versions.gradle,versions.gradle,Gradle,modified,10,10,1,1,0.1,0.1,250.36,250.36,25.036,25.036,0.0,0.0,0,0,0.0,0.0,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,273,272,7,7,0.0256,0.0257,12188.49,12357.48,44.6465,45.4319,,,7,7,0.0256,0.0257,,
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,sample/build.gradle,build.gradle,Gradle,modified,25,28,1,1,0.04,0.0357,820.99,929.17,32.8396,33.1846,0.0,0.0,0,0,0.0,0.0,,
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,25,28,1,1,0.04,0.0357,820.99,929.17,32.8396,33.1846,,,0,0,0.0,0.0,,
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,build.gradle,build.gradle,Gradle,modified,21,18,1,1,0.0476,0.0556,677.26,650.73,32.2505,36.1517,0.0,0.0,0,0,0.0,0.0,,
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,demo/build.gradle,build.gradle,Gradle,modified,51,51,1,1,0.0196,0.0196,3485.63,3496.6,68.3457,68.5608,0.0,0.0,0,0,0.0,0.0,,
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,dependencies.gradle,dependencies.gradle,Gradle,modified,55,60,1,1,0.0182,0.0167,1650.12,1899.79,30.0022,31.6632,0.0,0.0,0,0,0.0,0.0,,
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,library/build.gradle,build.gradle,Gradle,modified,34,33,1,1,0.0294,0.0303,1659.71,1635.03,48.815,49.5464,0.0,0.0,0,0,0.0,0.0,,
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,161,162,4,4,0.0248,0.0247,7472.72,7682.15,46.4144,47.4207,,,0,0,0.0,0.0,,
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,build.gradle,build.gradle,Gradle,modified,76,77,3,3,0.0395,0.039,3206.26,3253.23,42.1876,42.2497,0.079,0.078,0,0,0.0,0.0,,
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,76,77,3,3,0.0395,0.039,3206.26,3253.23,42.1876,42.2497,,,0,0,0.0,0.0,,
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,elasticviews/build.gradle,build.gradle,Gradle,modified,29,29,1,1,0.0345,0.0345,1335.36,1335.36,46.0469,46.0469,0.0,0.0,0,0,0.0,0.0,,
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,29,29,1,1,0.0345,0.0345,1335.36,1335.36,46.0469,46.0469,,,0,0,0.0,0.0,,
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,app/build.gradle,build.gradle,Gradle,modified,52,52,1,1,0.0192,0.0192,2528.05,2528.05,48.6163,48.6163,0.0,0.0,0,0,0.0,0.0,,
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,52,52,1,1,0.0192,0.0192,2528.05,2528.05,48.6163,48.6163,,,0,0,0.0,0.0,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,build.gradle,build.gradle,Gradle,modified,29,38,2,1,0.069,0.0263,832.16,1232.52,28.6952,32.4347,0.0,0.0,0,0,0.0,0.0,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,gradle/maven_push.gradle,maven_push.gradle,Gradle,renamed,0,90,0,7,0.0,0.0778,0.0,4844.79,0.0,53.831,0.0,0.067,0,0,0.0,0.0,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-plugin/build.gradle,build.gradle,Gradle,modified,37,34,1,1,0.027,0.0294,1380.75,1264.77,37.3176,37.1991,0.0,0.0,0,0,0.0,0.0,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-runtime/build.gradle,build.gradle,Gradle,modified,79,79,8,8,0.1013,0.1013,4004.42,4194.94,50.6889,53.1005,0.0,0.0,0,0,0.0,0.0,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,145,241,11,17,0.0759,0.0705,6217.33,11537.02,42.8781,47.8715,,,0,0,0.0,0.0,,
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,build.gradle,build.gradle,Gradle,modified,44,100,4,6,0.0909,0.06,1912.25,4816.58,43.4602,48.1658,0.0,0.0,0,0,0.0,0.0,,
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,44,100,4,6,0.0909,0.06,1912.25,4816.58,43.4602,48.1658,,,0,0,0.0,0.0,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,DaliTestApp/build.gradle,build.gradle,Gradle,modified,47,52,1,1,0.0213,0.0192,2491.42,3368.61,53.0089,64.781,0.0,0.0,1,1,0.0213,0.0192,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,build.gradle,build.gradle,Gradle,modified,35,28,3,1,0.0857,0.0357,833.85,852.22,23.8243,30.4364,0.0,0.0,0,0,0.0,0.0,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,dali/build.gradle,build.gradle,Gradle,modified,42,43,1,1,0.0238,0.0233,2363.64,2567.37,56.2771,59.7063,0.0,0.0,0,0,0.0,0.0,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/common-build.gradle,common-build.gradle,Gradle,added,0,58,0,10,0.0,0.1724,0.0,1085.98,0.0,18.7238,0.0,0.0,0,1,0.0,0.0172,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/publish.gradle,publish.gradle,Gradle,renamed,0,84,0,1,0.0,0.0119,0.0,4451.62,0.0,52.9955,0.0,0.0,0,0,0.0,0.0,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,124,265,5,14,0.0403,0.0528,5688.91,12325.8,45.8783,46.5125,,,1,2,0.0081,0.0075,,
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,speechrecognitionview/build.gradle,build.gradle,Gradle,modified,13,11,1,1,0.0769,0.0909,518.28,420.69,39.8677,38.2445,0.0,0.0,0,0,0.0,0.0,,
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,13,11,1,1,0.0769,0.0909,518.28,420.69,39.8677,38.2445,,,0,0,0.0,0.0,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.gradle,build.gradle,Gradle,modified,83,99,3,7,0.0361,0.0707,4245.63,4831.62,51.1522,48.8042,0.0,0.0,1,1,0.012,0.0101,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,renamed,0,12,0,1,0.0,0.0833,0.0,660.68,0.0,55.0567,0.0,0.0,0,1,0.0,0.0833,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-content-resolver-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,30,16,5,1,0.1667,0.0625,1110.69,721.31,37.023,45.0819,0.0,0.0,0,0,0.0,0.0,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,30,16,5,1,0.1667,0.0625,1110.69,721.31,37.023,45.0819,0.0,0.0,0,0,0.0,0.0,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,removed,12,0,1,0,0.0833,0.0,660.68,0.0,55.0567,0.0,0.0,0.0,1,0,0.0833,0.0,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,155,143,14,10,0.0903,0.0699,7127.69,6934.92,45.9851,48.4959,,,2,2,0.0129,0.014,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/build.gradle,build.gradle,Gradle,renamed,0,38,0,3,0.0,0.0789,0.0,616.12,0.0,16.2137,0.0,0.0,0,0,0.0,0.0,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/java-app/build.gradle,build.gradle,Gradle,renamed,0,27,0,1,0.0,0.037,0.0,325.53,0.0,12.0567,0.0,0.0,0,0,0.0,0.0,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/build.gradle,build.gradle,Gradle,renamed,0,35,0,1,0.0,0.0286,0.0,819.71,0.0,23.4203,0.0,0.0,0,0,0.0,0.0,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/kotlin-library/build.gradle,build.gradle,Gradle,renamed,0,30,0,1,0.0,0.0333,0.0,520.19,0.0,17.3397,0.0,0.0,0,0,0.0,0.0,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/settings.gradle,settings.gradle,Gradle,added,0,4,0,1,0.0,0.25,0.0,121.08,0.0,30.27,0.0,0.0,0,0,0.0,0.0,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/simpleKotlin/settings.gradle,settings.gradle,Gradle,removed,3,0,1,0,0.3333,0.0,89.69,0.0,29.8967,0.0,0.0,0.0,0,0,0.0,0.0,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,3,134,1,7,0.3333,0.0522,89.69,2402.63,29.8967,17.9301,,,0,0,0.0,0.0,,
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,blessedDeps.gradle,blessedDeps.gradle,Gradle,added,0,47,0,1,0.0,0.0213,0.0,2109.49,0.0,44.8828,0.0,0.0,0,0,0.0,0.0,,
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,build.gradle,build.gradle,Gradle,modified,55,56,13,13,0.2364,0.2321,1653.62,1744.05,30.0658,31.1438,0.0,0.0,0,0,0.0,0.0,,
