Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,CP_Internal_Before,CP_Internal_After,CP_External_Before,CP_External_After,NCP_Internal_Before,NCP_Internal_After,NCP_External_Before,NCP_External_After,Build_Cohesion_Before,Build_Cohesion_After,Clone_Density_Before,Clone_Density_After
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,ReactAndroid/build.gradle,build.gradle,Gradle,modified,2,2,96,94,0.0044,0.0046,0.2133,0.2181,0.253,0.253,0.0,0.0
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,2,2,96,94,0.0044,0.0046,0.2133,0.2181,,,,
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,build.gradle,build.gradle,Gradle,modified,0,0,14,14,0.0,0.0,0.0933,0.0933,0.0,0.0,0.044,0.044
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,cloudant-client/build.gradle,build.gradle,Gradle,modified,0,0,16,18,0.0,0.0,0.1345,0.1429,0.0,1.0,0.0,0.0
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,30,32,0.0,0.0,0.1115,0.1159,,,,
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,app/build.gradle,build.gradle,Gradle,modified,0,0,43,42,0.0,0.0,0.6232,0.6087,0.0,0.0,0.0,0.0
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,43,42,0.0,0.0,0.6232,0.6087,,,,
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,app/build.gradle,build.gradle,Gradle,modified,0,0,29,51,0.0,0.0,0.7436,0.573,0.0,0.0,0.0,0.112
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,build.gradle,build.gradle,Gradle,modified,0,0,4,4,0.0,0.0,0.2222,0.2,0.0,0.0,0.0,0.0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,33,55,0.0,0.0,0.5789,0.5046,,,,
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,build.gradle,build.gradle,Gradle,modified,0,0,16,16,0.0,0.0,0.2051,0.2025,0.0,0.0,0.078,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,buildSrc/build.gradle,build.gradle,Gradle,modified,0,0,23,22,0.0,0.0,0.4792,0.4783,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/build.gradle,build.gradle,Gradle,modified,0,0,25,25,0.0,0.0,0.4098,0.4032,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/settings.gradle,settings.gradle,Gradle,modified,0,0,1,1,0.0,0.0,0.0769,0.0909,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/pcComponents/core/build.gradle,build.gradle,Gradle,modified,0,0,45,46,0.0,0.0,0.7143,0.7188,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,versions.gradle,versions.gradle,Gradle,modified,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,110,110,0.0,0.0,0.4029,0.4044,,,,
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,sample/build.gradle,build.gradle,Gradle,modified,0,0,7,7,0.0,0.0,0.28,0.25,0.0,0.0,0.0,0.0
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,7,7,0.0,0.0,0.28,0.25,,,,
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,build.gradle,build.gradle,Gradle,modified,0,0,4,3,0.0,0.0,0.1905,0.1667,0.0,0.0,0.0,0.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,demo/build.gradle,build.gradle,Gradle,modified,0,0,8,6,0.0,0.0,0.1569,0.1176,0.0,0.0,0.0,0.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,dependencies.gradle,dependencies.gradle,Gradle,modified,0,0,0,1,0.0,0.0,0.0,0.0167,0.0,0.0,0.0,0.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,library/build.gradle,build.gradle,Gradle,modified,0,0,7,4,0.0,0.0,0.2059,0.1212,0.0,0.0,0.0,0.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,19,14,0.0,0.0,0.118,0.0864,,,,
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,build.gradle,build.gradle,Gradle,modified,0,0,11,11,0.0,0.0,0.1447,0.1429,0.0,0.0,0.079,0.078
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,11,11,0.0,0.0,0.1447,0.1429,,,,
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,elasticviews/build.gradle,build.gradle,Gradle,modified,0,0,15,15,0.0,0.0,0.5172,0.5172,0.0,0.0,0.0,0.0
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,15,15,0.0,0.0,0.5172,0.5172,,,,
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,app/build.gradle,build.gradle,Gradle,modified,0,0,30,30,0.0,0.0,0.5769,0.5769,0.0,0.0,0.0,0.0
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,30,30,0.0,0.0,0.5769,0.5769,,,,
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,build.gradle,build.gradle,Gradle,modified,0,0,2,2,0.0,0.0,0.069,0.0526,0.0,0.0,0.0,0.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,gradle/maven_push.gradle,maven_push.gradle,Gradle,renamed,0,0,0,4,0.0,0.0,0.0,0.0444,0.0,0.0,0.0,0.067
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-plugin/build.gradle,build.gradle,Gradle,modified,0,0,10,2,0.0,0.0,0.2703,0.0588,0.0,0.0,0.0,0.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-runtime/build.gradle,build.gradle,Gradle,modified,0,0,14,4,0.0,0.0,0.1772,0.0506,0.0,0.0,0.0,0.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,26,12,0.0,0.0,0.1793,0.0498,,,,
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,build.gradle,build.gradle,Gradle,modified,0,0,2,13,0.0,0.0,0.0455,0.13,0.0,0.0,0.0,0.0
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,2,13,0.0,0.0,0.0455,0.13,,,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,DaliTestApp/build.gradle,build.gradle,Gradle,modified,0,0,17,17,0.0,0.0,0.3617,0.3269,0.0,0.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,build.gradle,build.gradle,Gradle,modified,0,0,3,6,0.0,0.0,0.0857,0.2143,0.0,0.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,dali/build.gradle,build.gradle,Gradle,modified,0,0,16,16,0.0,0.0,0.381,0.3721,0.0,0.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/common-build.gradle,common-build.gradle,Gradle,added,0,0,0,7,0.0,0.0,0.0,0.1207,0.0,0.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/publish.gradle,publish.gradle,Gradle,renamed,0,0,0,10,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,36,56,0.0,0.0,0.2903,0.2113,,,,
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,speechrecognitionview/build.gradle,build.gradle,Gradle,modified,0,0,2,1,0.0,0.0,0.1538,0.0909,0.0,0.0,0.0,0.0
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,2,1,0.0,0.0,0.1538,0.0909,,,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.gradle,build.gradle,Gradle,modified,0,0,10,11,0.0,0.0,0.1205,0.1111,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,renamed,0,0,0,2,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-content-resolver-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,0,0,4,3,0.0,0.0,0.1333,0.1875,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,0,0,4,3,0.0,0.0,0.1333,0.1875,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,removed,0,0,2,0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,20,19,0.0,0.0,0.129,0.1329,,,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/build.gradle,build.gradle,Gradle,renamed,0,0,0,2,0.0,0.0,0.0,0.0526,0.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/java-app/build.gradle,build.gradle,Gradle,renamed,0,0,0,6,0.0,0.0,0.0,0.2222,0.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/build.gradle,build.gradle,Gradle,renamed,0,0,0,16,0.0,0.0,0.0,0.4571,0.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/kotlin-library/build.gradle,build.gradle,Gradle,renamed,0,0,0,14,0.0,0.0,0.0,0.4667,0.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/settings.gradle,settings.gradle,Gradle,added,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
