Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,RE_Before,RE_After,DSS_Before,DSS_After,EDR_Before,EDR_After
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,ReactAndroid/build.gradle,build.gradle,Gradle,modified,0.9733,0.9768,0.4,0.4,0.9796,0.9792
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9733,0.9768,0.4,0.4,0.9796,0.9792
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,build.gradle,build.gradle,Gradle,modified,0.9067,0.9067,0.0,0.0,1.0,1.0
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,cloudant-client/build.gradle,build.gradle,Gradle,modified,0.958,0.9524,1.0,1.0,0.9375,0.9444
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9294,0.9275,1.0,1.0,0.9667,0.9688
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,app/build.gradle,build.gradle,Gradle,modified,0.9565,0.9855,1.0,1.0,1.0,1.0
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9565,0.9855,1.0,1.0,1.0,1.0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,app/build.gradle,build.gradle,Gradle,modified,0.9744,0.9888,0.9231,0.6087,1.0,1.0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,build.gradle,build.gradle,Gradle,modified,0.9444,0.95,0.0,0.0,1.0,1.0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9649,0.9817,0.9231,0.6087,1.0,1.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,build.gradle,build.gradle,Gradle,modified,0.9872,0.9873,0.3333,0.3333,0.9375,0.9375
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,buildSrc/build.gradle,build.gradle,Gradle,modified,0.9375,0.9348,0.2857,0.2857,1.0,1.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/build.gradle,build.gradle,Gradle,modified,0.9508,0.9516,0.875,0.875,0.96,0.96
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/deviceComponents/deviceControlDaemon/settings.gradle,settings.gradle,Gradle,modified,0.6154,0.5455,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,project/pcComponents/core/build.gradle,build.gradle,Gradle,modified,0.9048,0.9062,0.9524,0.9524,0.9556,0.9565
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,versions.gradle,versions.gradle,Gradle,modified,1.0,1.0,0.0,0.0,0.0,0.0
4f03800c1236a947e831b3fa372720ca75071b77,ad29434ac054b0c858b979801bf00a04ee977861,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9341,0.9338,0.7692,0.7692,0.9545,0.9545
