Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Additions,Deletions,Changes,BLOC_Before,BLOC_After,Cyclomatic_Complexity_Before,Cyclomatic_Complexity_After,Normalized_CC_Before,Normalized_CC_After,Halstead_Volume_Before,Halstead_Volume_After,Normalized_HV_Before,Normalized_HV_After,Dependency_Count_Before,Dependency_Count_After,Fixed_Dependency_Count_Before,Fixed_Dependency_Count_After,Dynamic_Dependency_Count_Before,Dynamic_Dependency_Count_After,Snapshot_Dependency_Count_Before,Snapshot_Dependency_Count_After,Unknown_Dependency_Count_Before,Unknown_Dependency_Count_After,DSS_Before,DSS_After,DSS_Delta,Non_Deterministic_Constructs_Before,Non_Deterministic_Constructs_After,Non_Deterministic_Summary_Before,Non_Deterministic_Summary_After,BDS_Before,BDS_After,BDS_Delta,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After,CP_Internal_Before,CP_Internal_After,CP_External_Before,CP_External_After,CP_Total_Before,CP_Total_After,NCP_Internal_Before,NCP_Internal_After,NCP_External_Before,NCP_External_After,Coupling_Ratio_Before,Coupling_Ratio_After,External_Risk_Factors_Before,External_Risk_Factors_After,EDR_Before,EDR_After,EDR_Delta,Build_Cohesion_Before,Build_Cohesion_After,Build_Modularity_Before,Build_Modularity_After,Churn_Before,Churn_After,Change_Frequency_Before,Change_Frequency_After,Avg_Logical_LOC_Before,Avg_Logical_LOC_After,Normalized_Churn_Before,Normalized_Churn_After,Normalized_Change_Frequency_Before,Normalized_Change_Frequency_After,Observation_Window_Days,Reliability_Issues_Before,Reliability_Issues_After,RE_Before,RE_After,RE_Delta,RM_Before,RM_After,RM_Delta,Before_Smell_Count,After_Smell_Count,Before_Smell_Density,After_Smell_Density,Before_Smell_Summary,After_Smell_Summary,Smell_Count_Delta,Smell_Density_Delta,Introduced_Smells,Removed_Smells,Before_Security_Smell_Count,After_Security_Smell_Count,Before_Security_Smell_Density,After_Security_Smell_Density,Before_Security_Smell_Summary,After_Security_Smell_Summary,Security_Smell_Count_Delta,Security_Smell_Density_Delta,Introduced_Security_Smells,Removed_Security_Smells,Before_EMPTY_INCOMPLETE_TAGS,Before_INCONSISTENT_DEPENDENCY_MANAGEMENT,Before_LACK_OF_ERROR_HANDLING,Before_MISSING_DEPENDENCY_VERSION,Before_SUSPICIOUS_COMMENTS,Before_DEPRECATED_DEPENDENCIES,Before_OUTDATED_DEPENDENCIES,After_EMPTY_INCOMPLETE_TAGS,After_INCONSISTENT_DEPENDENCY_MANAGEMENT,After_LACK_OF_ERROR_HANDLING,After_MISSING_DEPENDENCY_VERSION,After_SUSPICIOUS_COMMENTS,After_DEPRECATED_DEPENDENCIES,After_OUTDATED_DEPENDENCIES,Before_HARDCODED_CREDENTIALS,Before_INSECURE_URLS,Before_WILDCARD_USAGE,Before_HARDCODED_PATHS_AND_URLS,After_HARDCODED_CREDENTIALS,After_INSECURE_URLS,After_WILDCARD_USAGE,After_HARDCODED_PATHS_AND_URLS
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,ReactAndroid/build.gradle,build.gradle,Gradle,modified,4,28,32,450,431,47,45,0.1044,0.1044,30347.84,28714.93,67.4396,66.624,25,25,10,10,0,0,0,0,15,15,0.4,0.4,0.0,0,0,,,1.0,1.0,0.0,0.0455,0.0475,55.67,52.0,0.95,0.95,0.0,0.0,2,2,96,94,98,96,0.0044,0.0046,0.2133,0.2181,0.9796,0.9792,96,94,0.9796,0.9792,-0.0004,0.253,0.253,0.0,0.0,152,152,5,5,442.8,442.8,0.3433,0.3433,1.1292,1.1292,30,12,10,0.9733,0.9768,0.0035,0.4646,0.4659,0.0013,4,4,0.0089,0.0093,,,0,0.0004,0,0,12,10,0.0267,0.0232,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,-2,-0.0035,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,4,28,32,450,431,47,45,0.1044,0.1044,30347.84,28714.93,67.4396,66.624,25,25,10,10,0,0,0,0,15,15,0.4,0.4,0.0,0,0,,,1.0,1.0,0.0,0.0455,0.0475,55.67,52.0,,,,,2,2,96,94,98,96,0.0044,0.0046,0.2133,0.2181,0.9796,0.9792,96,94,0.9796,0.9792,-0.0004,,,0.0,0.0,152,152,5,5,,,,,,,30,12,10,0.9733,0.9768,0.0035,0.4646,0.4659,0.0013,4,4,0.0089,0.0093,,,0,0.0004,0,0,12,10,0.0267,0.0232,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,-2,-0.0035,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,build.gradle,build.gradle,Gradle,modified,1,1,2,150,150,9,9,0.06,0.06,7535.05,7535.05,50.2337,50.2337,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,1.0,1.0,0.0,0.1443,0.1443,60.44,60.44,0.97,0.97,0.044,0.044,0,0,14,14,14,14,0.0,0.0,0.0933,0.0933,1.0,1.0,14,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,0.0,150.0,0.0,0.0133,0.0,0.6667,30,14,14,0.9067,0.9067,0.0,0.3022,0.3022,0.0,5,5,0.0333,0.0333,,,0,0.0,0,0,14,14,0.0933,0.0933,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,cloudant-client/build.gradle,build.gradle,Gradle,modified,45,26,71,119,126,7,10,0.0588,0.0794,5070.62,6235.25,42.6103,49.4861,6,7,6,7,0,0,0,0,0,0,1.0,1.0,0.0,0,0,,,1.0,1.0,0.0,0.109,0.1543,54.16,56.52,0.87,0.85,0.0,0.0,0,0,16,18,16,18,0.0,0.0,0.1345,0.1429,1.0,1.0,15,17,0.9375,0.9444,0.0069,0.0,1.0,0.0,0.0,0,71,0,1,0.0,126.0,0.0,0.5635,0.0,0.7937,30,5,6,0.958,0.9524,-0.0056,0.6735,0.6693,-0.0042,4,5,0.0336,0.0397,,,1,0.0061,1,0,5,6,0.042,0.0476,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,1,0.0056,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,46,27,73,269,276,16,19,0.0595,0.0688,12605.67,13770.3,46.8612,49.8924,6,7,6,7,0,0,0,0,0,0,1.0,1.0,0.0,0,0,,,1.0,1.0,0.0,0.1289,0.1489,58.16,58.85,,,,,0,0,30,32,30,32,0.0,0.0,0.1115,0.1159,1.0,1.0,29,31,0.9667,0.9688,0.0021,,,0.0,0.0,0,73,0,2,,,,,,,30,19,20,0.9294,0.9275,-0.0019,0.6542,0.6529,-0.0013,9,10,0.0335,0.0362,,,1,0.0027,1,0,19,20,0.0706,0.0725,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,HARDCODED_CREDENTIALS;HARDCODED_PATHS_AND_URLS;INSECURE_URLS,1,0.0019,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,app/build.gradle,build.gradle,Gradle,modified,4,4,8,69,69,1,1,0.0145,0.0145,3692.57,3774.58,53.5155,54.7041,18,18,18,18,0,0,0,0,0,0,1.0,1.0,0.0,0,0,,,1.0,1.0,0.0,0.1333,0.1333,40.25,40.25,1.0,1.0,0.0,0.0,0,0,43,42,43,42,0.0,0.0,0.6232,0.6087,1.0,1.0,43,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,131,139,14,15,52.9286,54.0,2.475,2.5741,26.4507,27.7778,30,3,1,0.9565,0.9855,0.029,0.6522,0.6618,0.0096,2,2,0.029,0.029,,,0,0.0,0,0,3,1,0.0435,0.0145,HARDCODED_CREDENTIALS;WILDCARD_USAGE,WILDCARD_USAGE,-2,-0.029,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,4,4,8,69,69,1,1,0.0145,0.0145,3692.57,3774.58,53.5155,54.7041,18,18,18,18,0,0,0,0,0,0,1.0,1.0,0.0,0,0,,,1.0,1.0,0.0,0.1333,0.1333,40.25,40.25,,,,,0,0,43,42,43,42,0.0,0.0,0.6232,0.6087,1.0,1.0,43,42,1.0,1.0,0.0,,,0.0,0.0,131,139,14,15,,,,,,,30,3,1,0.9565,0.9855,0.029,0.6522,0.6618,0.0096,2,2,0.029,0.029,,,0,0.0,0,0,3,1,0.0435,0.0145,HARDCODED_CREDENTIALS;WILDCARD_USAGE,WILDCARD_USAGE,-2,-0.029,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,app/build.gradle,build.gradle,Gradle,modified,79,18,97,39,89,1,1,0.0256,0.0112,1818.15,4256.11,46.6192,47.8215,13,23,12,14,0,0,1,0,0,9,0.9231,0.6087,-0.3144,0,0,,,1.0,1.0,0.0,0.0,0.0291,0.0,3.34,1.0,0.97,0.0,0.112,0,0,29,51,29,51,0.0,0.0,0.7436,0.573,1.0,1.0,29,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25,25,3,3,88.0,88.0,0.2841,0.2841,3.4091,3.4091,30,1,1,0.9744,0.9888,0.0144,0.6325,0.5325,-0.1,1,1,0.0256,0.0112,,,0,-0.0144,0,0,1,1,0.0256,0.0112,WILDCARD_USAGE,WILDCARD_USAGE,0,-0.0144,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,build.gradle,build.gradle,Gradle,modified,4,1,5,18,20,1,1,0.0556,0.05,495.0,619.92,27.5,30.996,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,,,1.0,1.0,0.0,0.0435,0.0385,64.45,64.45,1.0,1.0,0.0,0.0,0,0,4,4,4,4,0.0,0.0,0.2222,0.2,1.0,1.0,4,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4,4,1,1,20.0,20.0,0.2,0.2,5.0,5.0,30,1,1,0.9444,0.95,0.0056,0.3148,0.3167,0.0019,0,0,0.0,0.0,,,0,0.0,0,0,1,1,0.0556,0.05,HARDCODED_PATHS_AND_URLS,HARDCODED_PATHS_AND_URLS,0,-0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,83,19,102,57,109,2,2,0.0351,0.0183,2313.15,4876.03,40.5816,44.7342,13,23,12,14,0,0,1,0,0,9,0.9231,0.6087,-0.3144,0,0,,,1.0,1.0,0.0,0.0154,0.031,64.45,49.17,,,,,0,0,33,55,33,55,0.0,0.0,0.5789,0.5046,1.0,1.0,33,55,1.0,1.0,0.0,,,0.0,0.0,29,29,4,4,,,,,,,30,2,2,0.9649,0.9817,0.0168,0.6293,0.5301,-0.0992,1,1,0.0175,0.0092,,,0,-0.0083,0,0,2,2,0.0351,0.0183,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,-0.0168,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
