Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Normalized_CC_Before,Normalized_CC_After,Normalized_HV_Before,Normalized_HV_After,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,ReactAndroid/build.gradle,build.gradle,Gradle,modified,0.1044,0.1044,67.4396,66.624,0.0455,0.0475,55.67,52.0,0.95,0.95,0.0,0.0
75b2e5cc9734bb3db49ce118b9e2935ed7d90e77,52b0cc035507178ee02433f109d3ae483c9ba7cf,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.1044,0.1044,67.4396,66.624,0.0455,0.0475,55.67,52.0,,,,
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,build.gradle,build.gradle,Gradle,modified,0.06,0.06,50.2337,50.2337,0.1443,0.1443,60.44,60.44,0.97,0.97,0.044,0.044
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,cloudant-client/build.gradle,build.gradle,Gradle,modified,0.0588,0.0794,42.6103,49.4861,0.109,0.1543,54.16,56.52,0.87,0.85,0.0,0.0
3529583bdcc11a846a7664c7deb9010c82faaaa7,118a86cc23d4185cb88ae3c5f68a594ebaf0c4c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0595,0.0688,46.8612,49.8924,0.1289,0.1489,58.16,58.85,,,,
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,app/build.gradle,build.gradle,Gradle,modified,0.0145,0.0145,53.5155,54.7041,0.1333,0.1333,40.25,40.25,1.0,1.0,0.0,0.0
0bd7cd766513926085c9eac3ed865bbe936f9ace,0475b6206f11a57c974cda0fdd9d76bff9fc7eff,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0145,0.0145,53.5155,54.7041,0.1333,0.1333,40.25,40.25,,,,
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,app/build.gradle,build.gradle,Gradle,modified,0.0256,0.0112,46.6192,47.8215,0.0,0.0291,0.0,3.34,1.0,0.97,0.0,0.112
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,build.gradle,build.gradle,Gradle,modified,0.0556,0.05,27.5,30.996,0.0435,0.0385,64.45,64.45,1.0,1.0,0.0,0.0
77bb3fc79952c18d3d8e5290b0f5ec8500bb7703,5f2555bed379cf40b66ac451adb9d86127dde3dc,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0351,0.0183,40.5816,44.7342,0.0154,0.031,64.45,49.17,,,,
